cell,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940575315705,F-mini-ON,FmOn,793.533,501.755,-14.2647,793.2,494.304,29.24
720575940567506102,F-mini-ON,FmOn,308.939,653.573,-14.3602,302.992,647.808,12.24
720575940567571462,F-mini-ON,FmOn,940.586,669.589,-11.9429,938.432,667.664,21.04
720575940567575548,F-mini-ON,FmOn,939.901,750.155,-14.4733,938.432,748.288,15.32
720575940567634488,F-mini-ON,FmOn,889.366,1047.21,-14.4538,885.408,1044.352,25.08
720575940578353097,F-mini-ON,FmOn,562.207,917.186,-14.0689,557.104,915.696,13.48
720575940567692978,F-mini-ON,FmOn,890.895,399.929,-13.9434,889.856,397.536,33.24
720575940571650706,F-mini-ON,FmOn,1088.26,798.252,-12.1848,1086.608,797.728,24.76
720575940574677462,F-mini-ON,FmOn,529.347,341.389,-14.2972,528.592,337.376,30.24
720575940569432658,F-mini-ON,FmOn,1009.69,835.179,-11.8523,1012.624,833.472,20.56
720575940567795055,F-mini-ON,FmOn,939.296,381.07,-14.5385,938.784,379.056,40.48
720575940567824117,F-mini-ON,FmOn,1086.53,520.967,-14.6726,1087.216,518.544,37.12
720575940574583856,F-mini-ON,FmOn,155.9,468.659,-15.6864,152.464,467.728,39.08
720575940580286872,F-mini-ON,FmOn,507.114,558.732,-14.6255,505.312,555.648,17.84
720575940567964405,F-mini-ON,FmOn,1086.08,931.395,-12.8498,1082.048,930.56,33.76
720575940582111806,F-mini-ON,FmOn,784.153,644.111,-14.9191,782.672,641.92,20.24
720575940564427421,F-mini-ON,FmOn,451.231,523.515,-14.0513,448.992,519.6,16.92
