Cell type name,Cell class,Short name for MS,Helmstaeder name,EW1 name,Other names,EW II Type,Reference,Reference links,temporary comments,Stratification,peak position,Axon ,Dendritic field size,Dendritic field shape,Dendrite shape ,Dendritic field density,Soma layers,Surround suppression level,Response kinetics,Response polarity,Spiking,OS,DS,Count,Example
H28,,,,,,non-dosplaced bowtie ,,,,,,,wide,elongated,straight,sparse,INL,,,,,,,,
H29,,,,,,,,,,,,,medium ,,,,INL,,,OFF,,,,,
H30,,,,,,,,,,,,,medium ,,,,INL,,,OFF,,,,,
H31,,,,,WF1,,,,,,,,,,,,,,,,,,,,
H32,,,,,,monostratified layered,7,no,medium,symmetric,straight/ knotty,dense ,,,,,,,,,,,,,
H33,,,,,OFF SAC,,,,,,,,,,,,,,,,,,,,
H34,,,,,interplexiform ?,,,,,,,,medium ,,,,INL,,,ON-OFF,,,,,
H35,,,,,,,,,,diffuse,,,medium ,,,,INL,,,ON-OFF,,,,,
H36,,,,,,,,,,tristratified,,,medium ,,,,INL,,,ON-OFF,,,,,
H37,,,,,,Wide-field mid IPL or nNOS2,,,,,,,,,,,,,,,,,,,
H38,,,,,,,MacNeil & Masland 1999,,,Diffuse multistratified,,,medium ,,,,INL,,,ON-OFF,,,,,
H39,,,,,WF3,,MacNeil & Masland 1999,,,,,,medium ,,,,INL,,,ON,,,,,
H40,,,,,VIP1/ VIPm,,,,,bistratified,,,medium ,,,,INL,,,ON,,,,,
H41,,,,,,Wide-field mid IPL or nNOS2,,,,,,,medium ,,,,INL,,,,,,,,
H42,,,,,,,,,,,,,,,,,INL,,,,,,,,
H43,,,,,,MF mid-IPL smooth ,,,,,,,medium ,,,,GCL,,,ON,,,,,
H44,,,,,"Fountain, bigger H18 ",,MacNeil & Masland 1999,,,,,,medium ,,,,INL,,,ON-OFF,,,,,
H45,,,,,,,,,,bistratifed diffuse,1,,wide,symmetric,wavy,"dense in center, outer sparse",INL,,,,,,,,one example found
H46,,,,,"vGlut3, Narrow s3",non-dosplaced MF mid-IPL varicose,MacNeil & Masland 1999,,,,,,medium ,,,,INL,,,ON,,,,,
H47,,,,,,non-displaced nNOS-2 ,,,,monostratified layered,3,no,wide,elongated,straight,sparse,INL,,,ON,,,,,
H48,,,,,"vGlut3, AB broad diffuse",,MacNeil & Masland 1999,,,,,,medium ,,,,INL,,,ON,,,,,
H49,,,,,A17,,,,,,,,,,,,,,,,,,,,
H50,,,,,VIP2,non-displaced hugging ON ChAT,,,,monostratified layered,2,unclear,medium ,,,,INL,,,ON,,,,,
H51,,,,,ON SAC,,,,,,,,,,,,,,,,,,,,
H52,,,,,,,,,,bistratified,,,medium ,,,,INL,,,ON,,,,,
H53,,,,,,non-displaced non-spinky sparse stratifying,,,,monostratified,2,unclear,wide,unclear,long straight,sparse,INL,,,ON,,,,,
H54,,,,,WF4,non-displaced SAD stratifying,MacNeil & Masland 1999,,,monostratified,1,yes,wide,asymmetric,"many short branchy, few long straight","dense in center, outer sparce",INL,,,,,,,,
H55,,,,,MF low in IPL transient/sustained,,,,weakly bistatified,,,,medium ,,,,GCL,,,ON,,,,,
H56,,,,,,Wide-field ON non-spiny dense,,,,,,,medium ,,,,GCL,,,ON,,,,,
H57,,,,,,SAD,,,,,,,medium ,,,,GCL,,,ON,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Other Types  (to be added),,,,,,,,,,,,,,,,,,,,,,,,,
VIPm-RAC2,,,H40,,,,from David,,,bistratified,,,,,,,,,,,,,,,
RAC2,,,,,"just a few branches that go into the inner ON, otherwise very similar to VIPm-RAC2",,from David,,,,,,,,,,,,,,,,,,
nGnG,,,,,,,"Kay et al., 2011",,,,,,,,,,,,,,,,,,
WA1-5,,,,,,,Lin & Masland 2006,,,,,,,,,,,,,,,,,,
